algo	mem	flownum	precision	recall	f1
AHeap	AHeap336000	AHeap8000	1.000000	0.994264	0.997124
AHE	AHE336000	AHE8000	1.000000	0.998088	0.999043
AHeap	AHeap336000	AHeap12000	1.000000	0.981651	0.990741
AHE	AHE336000	AHE12000	1.000000	0.996560	0.998277
AHeap	AHeap336000	AHeap16000	1.000000	0.957886	0.978490
AHE	AHE336000	AHE16000	0.999165	0.987614	0.993355
AHeap	AHeap336000	AHeap20000	1.000000	0.918888	0.957729
AHE	AHE336000	AHE20000	0.999408	0.977404	0.988284
AHeap	AHeap336000	AHeap24000	1.000000	0.913580	0.954839
AHE	AHE336000	AHE24000	0.999534	0.979881	0.989610
AHeap	AHeap336000	AHeap28000	1.000000	0.886086	0.939603
AHE	AHE336000	AHE28000	0.999607	0.972859	0.986052
AHeap	AHeap336000	AHeap32000	1.000000	0.861226	0.925439
AHE	AHE336000	AHE32000	0.999336	0.956177	0.977280
