algo	mem	flownum	packetnum	re
AHeap	AHeap272000	8000	23562	0.018125
FlowRadar	FlowRadar272000	8000	23562	0.000125
AHE	AHE272000	8000	23562	0.000875
AHeap	AHeap272000	12000	38859	0.072417
FlowRadar	FlowRadar272000	12000	38859	0.889000
AHE	AHE272000	12000	38859	0.006167
AHeap	AHeap272000	16000	55716	0.172188
FlowRadar	FlowRadar272000	16000	55716	0.970500
AHE	AHE272000	16000	55716	0.020563
AHeap	AHeap272000	20000	76299	0.277150
FlowRadar	FlowRadar272000	20000	76299	0.991600
AHE	AHE272000	20000	76299	0.044300
AHeap	AHeap272000	24000	98668	0.371333
FlowRadar	FlowRadar272000	24000	98668	0.997375
AHE	AHE272000	24000	98668	0.081167
AHeap	AHeap272000	28000	122920	0.447286
FlowRadar	FlowRadar272000	28000	122920	0.999143
AHE	AHE272000	28000	122920	0.126000
AHeap	AHeap272000	32000	149951	0.510969
FlowRadar	FlowRadar272000	32000	149951	0.999656
AHE	AHE272000	32000	149951	0.175531
