algo	mem	flownum	packetnum	precision	recall	f1
AHeap	AHeap272000	8000	23562	1.000000	0.985507	0.992701
FlowRadar	FlowRadar272000	8000	23562	1.000000	1.000000	1.000000
AHE	AHE272000	8000	23562	1.000000	1.000000	1.000000
AHeap	AHeap272000	12000	38859	1.000000	0.888060	0.940711
FlowRadar	FlowRadar272000	12000	38859	1.000000	0.014925	0.029412
AHE	AHE272000	12000	38859	1.000000	0.985075	0.992481
AHeap	AHeap272000	16000	55716	1.000000	0.711009	0.831099
FlowRadar	FlowRadar272000	16000	55716	0.000000	0.000000	0.000000
AHE	AHE272000	16000	55716	1.000000	0.958716	0.978923
AHeap	AHeap272000	20000	76299	1.000000	0.485119	0.653307
FlowRadar	FlowRadar272000	20000	76299	0.000000	0.000000	0.000000
AHE	AHE272000	20000	76299	1.000000	0.910714	0.953271
AHeap	AHeap272000	24000	98668	1.000000	0.372549	0.542857
FlowRadar	FlowRadar272000	24000	98668	0.000000	0.000000	0.000000
AHE	AHE272000	24000	98668	1.000000	0.856209	0.922535
AHeap	AHeap272000	28000	122920	1.000000	0.309154	0.472296
FlowRadar	FlowRadar272000	28000	122920	0.000000	0.000000	0.000000
AHE	AHE272000	28000	122920	1.000000	0.820380	0.901328
AHeap	AHeap272000	32000	149951	1.000000	0.273141	0.429082
FlowRadar	FlowRadar272000	32000	149951	0.000000	0.000000	0.000000
AHE	AHE272000	32000	149951	1.000000	0.783005	0.878298
