algo	mem	flownum	packetnum	re
AHeap	AHeap272000	8000	23562	0.011109
FlowRadar	FlowRadar272000	8000	23562	0.001587
AHE	AHeap272000	8000	23562	0.000088
AHeap	AHeap272000	12000	38859	0.057291
FlowRadar	FlowRadar272000	12000	38859	0.213466
AHE	AHeap272000	12000	38859	0.003862
AHeap	AHeap272000	16000	55716	0.157763
FlowRadar	FlowRadar272000	16000	55716	0.385819
AHE	AHeap272000	16000	55716	0.015004
AHeap	AHeap272000	20000	76299	0.289645
FlowRadar	FlowRadar272000	20000	76299	0.336408
AHE	AHeap272000	20000	76299	0.034364
AHeap	AHeap272000	24000	98668	0.441786
FlowRadar	FlowRadar272000	24000	98668	0.783193
AHE	AHeap272000	24000	98668	0.067332
AHeap	AHeap272000	28000	122920	0.597953
FlowRadar	FlowRadar272000	28000	122920	0.682462
AHE	AHeap272000	28000	122920	0.111535
AHeap	AHeap272000	32000	149951	0.759155
FlowRadar	FlowRadar272000	32000	149951	0.906165
AHE	AHeap272000	32000	149951	0.163258
