algo	mem	flownum	packetnum	loadfactor	acc	aae	are
AHeap	AHeap272000	8000	23562	0.981875	0.972625	0.010250	0.003826
FlowRadar	FlowRadar272000	8000	23562	0.999875	0.987500	0.012625	0.008915
AHE	AHE272000	8000	23562	0.999125	0.997125	0.002250	0.000852
AHeap	AHeap272000	12000	38859	0.927583	0.905667	0.025250	0.008504
FlowRadar	FlowRadar272000	12000	38859	0.111000	0.110750	0.001750	0.001668
AHE	AHE272000	12000	38859	0.993833	0.989583	0.005167	0.001631
AHeap	AHeap272000	16000	55716	0.827812	0.791438	0.042313	0.014405
FlowRadar	FlowRadar272000	16000	55716	0.029500	0.029375	0.001250	0.001250
AHE	AHE272000	16000	55716	0.979437	0.969625	0.011250	0.003949
AHeap	AHeap272000	20000	76299	0.722850	0.669250	0.061950	0.021394
FlowRadar	FlowRadar272000	20000	76299	0.008400	0.008300	0.000100	0.000067
AHE	AHE272000	20000	76299	0.955700	0.934950	0.022450	0.008327
AHeap	AHeap272000	24000	98668	0.628667	0.564417	0.076708	0.025288
FlowRadar	FlowRadar272000	24000	98668	0.002625	0.002458	0.000792	0.000410
AHE	AHE272000	24000	98668	0.918833	0.885333	0.036750	0.013547
AHeap	AHeap272000	28000	122920	0.552714	0.482321	0.093857	0.027870
FlowRadar	FlowRadar272000	28000	122920	0.000857	0.000607	0.001071	0.000655
AHE	AHE272000	28000	122920	0.874000	0.829821	0.050286	0.017630
AHeap	AHeap272000	32000	149951	0.489031	0.415344	0.107000	0.028089
FlowRadar	FlowRadar272000	32000	149951	0.000344	0.000250	0.000156	0.000156
AHE	AHE272000	32000	149951	0.824469	0.764125	0.071344	0.023939
