algo	mem	flownum	packetnum	wmre
AHeap	AHeap272000	8000	23562	0.019804
FlowRadar	FlowRadar272000	8000	23562	0.013277
AHE	AHeap272000	8000	23562	0.002251
AHeap	AHeap272000	12000	38859	0.076956
FlowRadar	FlowRadar272000	12000	38859	1.600360
AHE	AHeap272000	12000	38859	0.007690
AHeap	AHeap272000	16000	55716	0.190945
FlowRadar	FlowRadar272000	16000	55716	1.885381
AHE	AHeap272000	16000	55716	0.021469
AHeap	AHeap272000	20000	76299	0.325865
FlowRadar	FlowRadar272000	20000	76299	1.966680
AHE	AHeap272000	20000	76299	0.047289
AHeap	AHeap272000	24000	98668	0.460421
FlowRadar	FlowRadar272000	24000	98668	1.989527
AHE	AHeap272000	24000	98668	0.087062
AHeap	AHeap272000	28000	122920	0.580663
FlowRadar	FlowRadar272000	28000	122920	1.996574
AHE	AHeap272000	28000	122920	0.137037
AHeap	AHeap272000	32000	149951	0.691825
FlowRadar	FlowRadar272000	32000	149951	1.998625
AHE	AHeap272000	32000	149951	0.194346
