algo	mem	flownum	packetnum	precision	recall	f1
AHeap	AHeap272000	8000	23562	1.000000	0.983051	0.991453
FlowRadar	FlowRadar272000	8000	23562	1.000000	1.000000	1.000000
AHE	AHE272000	8000	23562	1.000000	1.000000	1.000000
AHeap	AHeap272000	12000	38859	1.000000	0.946809	0.972678
FlowRadar	FlowRadar272000	12000	38859	0.000000	0.000000	0.000000
AHE	AHE272000	12000	38859	1.000000	0.989362	0.994652
AHeap	AHeap272000	16000	55716	1.000000	0.879630	0.935961
FlowRadar	FlowRadar272000	16000	55716	0.000000	0.000000	0.000000
AHE	AHE272000	16000	55716	1.000000	1.000000	1.000000
AHeap	AHeap272000	20000	76299	1.000000	0.885965	0.939535
FlowRadar	FlowRadar272000	20000	76299	0.000000	0.000000	0.000000
AHE	AHE272000	20000	76299	1.000000	0.982456	0.991150
AHeap	AHeap272000	24000	98668	1.000000	0.858333	0.923767
FlowRadar	FlowRadar272000	24000	98668	0.000000	0.000000	0.000000
AHE	AHE272000	24000	98668	1.000000	0.983333	0.991597
AHeap	AHeap272000	28000	122920	1.000000	0.818898	0.900433
FlowRadar	FlowRadar272000	28000	122920	0.000000	0.000000	0.000000
AHE	AHE272000	28000	122920	1.000000	0.952756	0.975806
AHeap	AHeap272000	32000	149951	1.000000	0.734848	0.847162
FlowRadar	FlowRadar272000	32000	149951	0.000000	0.000000	0.000000
AHE	AHE272000	32000	149951	1.000000	0.939394	0.968750
